title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
0,0,0,1,201,0.0417,0.4000,0.1791,0.1403,0.1147,0.3333
0,0,0,1,202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,1,203,0.0084,0.1000,0.0694,0.0873,0.1056,0.1250
0,0,0,1,204,0.0366,0.4000,0.2066,0.1518,0.1440,0.2500
0,0,0,1,205,0.0688,0.5000,0.1968,0.1497,0.1408,0.5000
0,0,0,1,206,0.0169,0.1000,0.0402,0.1422,0.1617,0.1250
0,0,0,1,207,0.0322,0.3000,0.0835,0.1315,0.1365,0.1667
0,0,0,1,208,0.0392,0.4000,0.1598,0.1287,0.1085,0.3333
0,0,0,1,209,0.0154,0.1000,0.0722,0.0655,0.0651,0.2000
0,0,0,1,210,0.0054,0.0000,0.0000,0.0720,0.0373,0.0588
0,0,0,1,211,0.0801,0.5000,0.2633,0.2183,0.2125,0.5000
0,0,0,1,212,0.0013,0.0000,0.0000,0.0579,0.0000,0.0076
0,0,0,1,213,0.0182,0.1000,0.0694,0.1460,0.1878,0.1250
0,0,0,1,214,0.0967,0.6000,0.3981,0.2448,0.2124,1.0000
0,0,0,1,215,0.0527,0.2000,0.0945,0.2120,0.2282,0.1667
0,0,0,1,216,0.0611,0.5000,0.2425,0.1793,0.1633,1.0000
0,0,0,1,217,0.0450,0.7000,0.2583,0.1425,0.1440,0.2500
0,0,0,1,218,0.0154,0.2000,0.1526,0.1161,0.1091,1.0000
0,0,0,1,219,0.0011,0.0000,0.0000,0.0314,0.0306,0.0135
0,0,0,1,220,0.0004,0.0000,0.0000,0.0223,0.0187,0.0097
0,0,0,1,221,0.0736,0.3000,0.1560,0.1720,0.1868,1.0000
0,0,0,1,222,0.0685,0.4000,0.2135,0.1802,0.1703,1.0000
0,0,0,1,223,0.1135,0.6000,0.3770,0.2959,0.2203,1.0000
0,0,0,1,224,0.0297,0.2000,0.2173,0.1437,0.0993,0.5000
0,0,0,1,225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,1,226,0.0159,0.0000,0.0000,0.1396,0.1211,0.0667
0,0,0,1,227,0.1179,0.5000,0.5746,0.3499,0.2272,1.0000
0,0,0,1,228,0.0142,0.1000,0.0804,0.0973,0.1043,0.2500
0,0,0,1,229,0.0840,0.5000,0.5549,0.2811,0.2297,1.0000
0,0,0,1,230,0.0178,0.3000,0.2214,0.1232,0.1095,0.2500
0,0,0,1,231,0.0328,0.1000,0.0354,0.1651,0.2372,0.2000
0,0,0,1,232,0.1260,0.6000,0.7059,0.2811,0.1474,1.0000
0,0,0,1,233,0.0055,0.0000,0.0000,0.0807,0.0613,0.0455
0,0,0,1,234,0.0554,0.3000,0.2738,0.2008,0.1618,0.5000
0,0,0,1,235,0.0119,0.1000,0.1067,0.0920,0.0663,0.1667
0,0,0,1,236,0.0752,0.5000,0.4450,0.2329,0.1820,1.0000
0,0,0,1,237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,1,238,0.0333,0.2000,0.1521,0.1268,0.0944,0.5000
0,0,0,1,239,0.0432,0.4000,0.2244,0.1601,0.1312,1.0000
0,0,0,1,240,0.0005,0.0000,0.0000,0.0210,0.0246,0.0400
0,0,0,1,241,0.0013,0.0000,0.0000,0.0476,0.0947,0.0161
0,0,0,1,242,0.0019,0.0000,0.0000,0.0334,0.0240,0.0435
0,0,0,1,243,0.0089,0.1000,0.0713,0.0680,0.0772,0.5000
0,0,0,1,244,0.0530,0.2000,0.0884,0.1661,0.1384,0.1111
0,0,0,1,245,0.0023,0.0000,0.0000,0.0240,0.0000,0.0204
0,0,0,1,246,0.0022,0.0000,0.0000,0.0387,0.0506,0.0714
0,0,0,1,247,0.0008,0.0000,0.0000,0.0195,0.0226,0.0189
0,0,0,1,248,0.0014,0.0000,0.0000,0.0320,0.0250,0.0263
0,0,0,1,249,0.0073,0.0000,0.0000,0.1012,0.1085,0.0303
0,0,0,1,250,0.0050,0.1000,0.0353,0.0271,0.0375,0.1000
0,0,0,1,251,0.0023,0.0000,0.0000,0.0330,0.0327,0.0588
0,0,0,1,252,0.0437,0.6000,0.2937,0.1169,0.0714,1.0000
0,0,0,1,253,0.0260,0.4000,0.1766,0.0888,0.0640,0.5000
0,0,0,1,254,0.0002,0.0000,0.0000,0.0104,0.0211,0.0045
0,0,0,1,255,0.0006,0.0000,0.0000,0.0237,0.0000,0.0032
0,0,0,1,256,0.0362,0.3000,0.1994,0.1292,0.0990,1.0000
0,0,0,1,257,0.0326,0.3000,0.1176,0.1276,0.1014,0.3333
0,0,0,1,258,0.0113,0.2000,0.1026,0.0478,0.0420,0.5000
0,0,0,1,259,0.0551,0.7000,0.4731,0.1463,0.0883,0.5000
0,0,0,1,260,0.0235,0.1000,0.1083,0.0908,0.0799,0.5000
0,0,0,1,261,0.0479,0.1000,0.1498,0.1193,0.0794,1.0000
0,0,0,1,262,0.0029,0.1000,0.0402,0.0357,0.0282,0.1111
0,0,0,1,263,0.0085,0.1000,0.0743,0.0683,0.0574,0.5000
0,0,0,1,264,0.0128,0.1000,0.0550,0.0909,0.0982,0.3333
0,0,0,1,265,0.0663,0.2000,0.2357,0.2887,0.1723,0.5000
0,0,0,1,266,0.0250,0.5000,0.6880,0.1715,0.0614,1.0000
0,0,0,1,267,0.0013,0.1000,0.0221,0.0071,0.0118,0.1111
0,0,0,1,268,0.0038,0.2000,0.0935,0.0296,0.0222,0.2000
0,0,0,1,269,0.0008,0.0000,0.0000,0.0390,0.0302,0.0208
0,0,0,1,270,0.0155,0.1000,0.1177,0.1191,0.1072,0.5000
0,0,0,1,271,0.0111,0.1000,0.0534,0.0446,0.0578,0.1667
0,0,0,1,272,0.0126,0.3000,0.1706,0.0821,0.0728,1.0000
0,0,0,1,273,0.0722,0.5000,0.4343,0.2779,0.1637,0.3333
0,0,0,1,274,0.0055,0.2000,0.0524,0.0488,0.0756,0.1429
0,0,0,1,275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,1,276,0.0091,0.2000,0.0707,0.0518,0.0495,0.5000
0,0,0,1,277,0.0000,0.0000,0.0000,0.0047,0.0135,0.0028
0,0,0,1,278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,1,279,0.0112,0.2000,0.1076,0.0687,0.0585,0.3333
0,0,0,1,280,0.0053,0.2000,0.1290,0.0698,0.0683,0.1429
0,0,0,1,281,0.0119,0.2000,0.0841,0.0698,0.0649,0.2500
0,0,0,1,282,0.0197,0.4000,0.3156,0.1164,0.0958,0.5000
0,0,0,1,283,0.0505,0.4000,0.2613,0.1432,0.0724,1.0000
0,0,0,1,284,0.0420,0.6000,0.4435,0.1627,0.0863,1.0000
0,0,0,1,285,0.0338,0.7000,0.4463,0.1100,0.0465,1.0000
0,0,0,1,286,0.0114,0.2000,0.1311,0.0590,0.0481,1.0000
0,0,0,1,287,0.0035,0.1000,0.0560,0.0277,0.0208,0.1667
0,0,0,1,288,0.0206,0.3000,0.2341,0.0963,0.0621,1.0000
0,0,0,1,289,0.0003,0.0000,0.0000,0.0167,0.0326,0.0087
0,0,0,1,290,0.0167,0.1000,0.1389,0.0689,0.0322,0.5000
0,0,0,1,291,0.0076,0.1000,0.0364,0.0280,0.0393,0.1667
0,0,0,1,292,0.0128,0.2000,0.1717,0.0797,0.0575,1.0000
0,0,0,1,293,0.0037,0.1000,0.0750,0.0363,0.0326,0.3333
0,0,0,1,294,0.0007,0.1000,0.0663,0.0246,0.0263,0.1111
0,0,0,1,295,0.0504,0.4000,0.4393,0.1608,0.0695,1.0000
0,0,0,1,296,0.0223,0.4000,0.2149,0.0775,0.0378,1.0000
0,0,0,1,297,0.0122,0.3000,0.2989,0.0814,0.0537,1.0000
0,0,0,1,298,0.0137,0.3000,0.0930,0.1391,0.1039,0.3333
0,0,0,1,299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0,0,0,1,300,0.0000,0.0000,0.0000,0.0058,0.0140,0.0015
