title,meta,headers,body,QueryNumber,map,p10,ndcg10,ndcg1000,bpref,rr
0,0,0,1,303,0.4084,0.4000,0.5077,0.7907,0.4055,1.0000
0,0,0,1,307,0.2983,1.0000,0.5331,0.5038,0.4101,1.0000
0,0,0,1,310,0.0920,0.5000,0.3432,0.3267,0.1188,1.0000
0,0,0,1,314,0.0036,0.1000,0.0871,0.0910,0.0123,0.1667
0,0,0,1,322,0.0122,0.1000,0.1389,0.1332,0.0315,0.5000
0,0,0,1,325,0.4229,0.2000,0.1721,0.7226,0.6065,1.0000
0,0,0,1,330,0.2805,0.8000,0.6415,0.7022,0.2883,1.0000
0,0,0,1,336,0.4583,0.8000,0.5660,0.7311,0.4439,1.0000
0,0,0,1,341,0.0992,0.1000,0.1407,0.3925,0.1227,1.0000
0,0,0,1,344,0.0726,0.3000,0.2269,0.2878,0.1381,1.0000
0,0,0,1,345,0.0297,0.1000,0.0679,0.2866,0.0000,0.1000
0,0,0,1,347,0.2352,0.6000,0.5767,0.5834,0.2981,0.5000
0,0,0,1,353,0.0555,0.0000,0.0000,0.2833,0.0227,0.0714
0,0,0,1,354,0.1609,0.7000,0.7779,0.4745,0.3769,1.0000
0,0,0,1,362,0.2174,0.7000,0.4799,0.4946,0.2721,1.0000
0,0,0,1,363,0.1079,0.3000,0.3152,0.4621,0.1578,0.5000
0,0,0,1,367,0.0636,0.2000,0.1682,0.3831,0.0646,0.2500
0,0,0,1,372,0.0896,0.1000,0.0698,0.4496,0.0789,0.2500
0,0,0,1,374,0.5182,0.4000,0.3183,0.8094,0.6431,0.3333
0,0,0,1,375,0.2051,0.3000,0.2867,0.6408,0.1492,0.5000
0,0,0,1,378,0.1149,0.0000,0.0000,0.4641,0.1228,0.0625
0,0,0,1,383,0.0373,0.0000,0.0000,0.2779,0.0558,0.0417
0,0,0,1,389,0.0244,0.0000,0.0000,0.2136,0.0560,0.0455
0,0,0,1,393,0.0377,0.0000,0.0000,0.2453,0.0735,0.0833
0,0,0,1,394,0.4533,1.0000,1.0000,0.6856,0.4646,1.0000
0,0,0,1,397,0.0400,0.3000,0.3273,0.2157,0.0743,0.5000
0,0,0,1,399,0.1706,0.6000,0.6048,0.4119,0.2993,1.0000
0,0,0,1,401,0.0739,0.1000,0.0694,0.3763,0.1003,0.1250
0,0,0,1,404,0.2540,0.2000,0.2895,0.5781,0.4153,1.0000
0,0,0,1,408,0.1001,0.2000,0.1781,0.4328,0.1008,0.5000
0,0,0,1,409,0.3056,0.4000,0.2772,0.7052,0.3150,0.5000
0,0,0,1,416,0.3193,0.5000,0.1990,0.6867,0.2905,0.2500
