title,meta,headers,body,map,p10,ndcg10,ndcg1000
0,0,0,1,0.0985,0.2767,0.2332,0.3009
0,0,0,3,0.0985,0.2767,0.2332,0.3009
0,0,0,5,0.0985,0.2767,0.2332,0.3009
0,0,1,0,0.0344,0.1580,0.1365,0.1258
0,0,1,1,0.0929,0.2587,0.2180,0.2859
0,0,1,3,0.1047,0.2873,0.2401,0.3071
0,0,1,5,0.1026,0.2880,0.2402,0.3051
0,0,3,0,0.0344,0.1580,0.1365,0.1258
0,0,3,1,0.0470,0.1833,0.1587,0.1642
0,0,3,3,0.0929,0.2587,0.2180,0.2859
0,0,3,5,0.1066,0.2957,0.2460,0.3087
0,0,5,0,0.0344,0.1580,0.1365,0.1258
0,0,5,1,0.0415,0.1733,0.1497,0.1469
0,0,5,3,0.0615,0.2057,0.1756,0.2106
0,0,5,5,0.0929,0.2587,0.2180,0.2859
0,1,0,0,0.0228,0.1283,0.1123,0.0943
0,1,0,1,0.0773,0.2270,0.1910,0.2609
0,1,0,3,0.1005,0.2803,0.2357,0.3021
0,1,0,5,0.1000,0.2793,0.2345,0.3020
0,1,1,0,0.0377,0.1677,0.1450,0.1371
0,1,1,1,0.0801,0.2350,0.1983,0.2601
0,1,1,3,0.1053,0.2900,0.2438,0.3074
0,1,1,5,0.1043,0.2847,0.2401,0.3068
0,1,3,0,0.0362,0.1617,0.1374,0.1309
0,1,3,1,0.0472,0.1840,0.1552,0.1651
0,1,3,3,0.0918,0.2560,0.2153,0.2838
0,1,3,5,0.1069,0.2963,0.2462,0.3086
0,1,5,0,0.0355,0.1577,0.1352,0.1289
0,1,5,1,0.0417,0.1730,0.1464,0.1484
0,1,5,3,0.0616,0.2100,0.1764,0.2110
0,1,5,5,0.0925,0.2580,0.2166,0.2846
0,3,0,0,0.0228,0.1283,0.1123,0.0943
0,3,0,1,0.0305,0.1523,0.1325,0.1214
0,3,0,3,0.0773,0.2270,0.1910,0.2609
0,3,0,5,0.0983,0.2767,0.2318,0.2977
0,3,1,0,0.0258,0.1373,0.1218,0.1027
0,3,1,1,0.0324,0.1620,0.1392,0.1270
0,3,1,3,0.0802,0.2337,0.1956,0.2646
0,3,1,5,0.1013,0.2823,0.2372,0.3018
0,3,3,0,0.0377,0.1677,0.1450,0.1371
0,3,3,1,0.0464,0.1867,0.1584,0.1635
0,3,3,3,0.0801,0.2350,0.1983,0.2601
0,3,3,5,0.1028,0.2823,0.2386,0.3014
0,3,5,0,0.0379,0.1660,0.1406,0.1361
0,3,5,1,0.0441,0.1783,0.1497,0.1555
0,3,5,3,0.0610,0.2107,0.1743,0.2090
0,3,5,5,0.0896,0.2540,0.2110,0.2790
0,5,0,0,0.0228,0.1283,0.1123,0.0943
0,5,0,1,0.0273,0.1443,0.1259,0.1090
0,5,0,3,0.0430,0.1777,0.1531,0.1681
0,5,0,5,0.0773,0.2270,0.1910,0.2609
0,5,1,0,0.0247,0.1360,0.1195,0.0996
0,5,1,1,0.0284,0.1487,0.1287,0.1119
0,5,1,3,0.0447,0.1797,0.1559,0.1720
0,5,1,5,0.0792,0.2327,0.1946,0.2637
0,5,3,0,0.0290,0.1457,0.1282,0.1127
0,5,3,1,0.0336,0.1577,0.1382,0.1289
0,5,3,3,0.0477,0.1843,0.1588,0.1790
0,5,3,5,0.0816,0.2353,0.1982,0.2659
0,5,5,0,0.0377,0.1677,0.1450,0.1371
0,5,5,1,0.0424,0.1767,0.1513,0.1519
0,5,5,3,0.0560,0.2053,0.1724,0.1950
0,5,5,5,0.0801,0.2350,0.1983,0.2601
1,0,0,0,0.0298,0.1223,0.1109,0.1176
1,0,0,1,0.1055,0.2787,0.2377,0.3025
1,0,0,3,0.1061,0.2960,0.2477,0.3086
1,0,0,5,0.1032,0.2917,0.2434,0.3057
1,0,1,0,0.0412,0.1587,0.1397,0.1437
1,0,1,1,0.0909,0.2450,0.2128,0.2779
1,0,1,3,0.1104,0.2943,0.2503,0.3135
1,0,1,5,0.1073,0.2930,0.2472,0.3107
1,0,3,0,0.0355,0.1570,0.1363,0.1291
1,0,3,1,0.0477,0.1807,0.1562,0.1648
1,0,3,3,0.0928,0.2537,0.2141,0.2839
1,0,3,5,0.1091,0.2960,0.2483,0.3112
1,0,5,0,0.0350,0.1573,0.1358,0.1280
1,0,5,1,0.0419,0.1717,0.1485,0.1481
1,0,5,3,0.0618,0.2063,0.1758,0.2101
1,0,5,5,0.0927,0.2547,0.2150,0.2843
1,1,0,0,0.0315,0.1507,0.1309,0.1229
1,1,0,1,0.0815,0.2327,0.1988,0.2635
1,1,0,3,0.1062,0.2890,0.2440,0.3083
1,1,0,5,0.1048,0.2903,0.2435,0.3072
1,1,1,0,0.0416,0.1750,0.1490,0.1469
1,1,1,1,0.0787,0.2297,0.1949,0.2528
1,1,1,3,0.1085,0.2937,0.2479,0.3104
1,1,1,5,0.1073,0.2927,0.2467,0.3106
1,1,3,0,0.0370,0.1637,0.1387,0.1333
1,1,3,1,0.0477,0.1877,0.1573,0.1656
1,1,3,3,0.0915,0.2543,0.2138,0.2813
1,1,3,5,0.1089,0.2973,0.2496,0.3105
1,1,5,0,0.0358,0.1590,0.1351,0.1298
1,1,5,1,0.0419,0.1707,0.1452,0.1488
1,1,5,3,0.0616,0.2097,0.1762,0.2096
1,1,5,5,0.0924,0.2550,0.2151,0.2837
1,3,0,0,0.0244,0.1363,0.1178,0.0982
1,3,0,1,0.0318,0.1620,0.1376,0.1247
1,3,0,3,0.0793,0.2310,0.1940,0.2636
1,3,0,5,0.1015,0.2813,0.2372,0.3016
1,3,1,0,0.0269,0.1443,0.1255,0.1060
1,3,1,1,0.0335,0.1663,0.1413,0.1292
1,3,1,3,0.0817,0.2327,0.1957,0.2652
1,3,1,5,0.1033,0.2850,0.2405,0.3036
1,3,3,0,0.0387,0.1697,0.1467,0.1392
1,3,3,1,0.0471,0.1850,0.1585,0.1651
1,3,3,3,0.0798,0.2357,0.1976,0.2578
1,3,3,5,0.1040,0.2840,0.2404,0.3024
1,3,5,0,0.0384,0.1680,0.1415,0.1371
1,3,5,1,0.0443,0.1810,0.1500,0.1555
1,3,5,3,0.0608,0.2113,0.1743,0.2074
1,3,5,5,0.0893,0.2503,0.2089,0.2777
1,5,0,0,0.0236,0.1337,0.1152,0.0964
1,5,0,1,0.0280,0.1473,0.1274,0.1109
1,5,0,3,0.0439,0.1787,0.1538,0.1701
1,5,0,5,0.0786,0.2310,0.1926,0.2624
1,5,1,0,0.0254,0.1410,0.1217,0.1010
1,5,1,1,0.0288,0.1523,0.1299,0.1128
1,5,1,3,0.0453,0.1820,0.1566,0.1733
