title,meta,headers,body,map,p10,ndcg10,ndcg1000
0,0,0,1,0.0252,0.2130,0.1449,0.1008
0,0,0,3,0.0252,0.2130,0.1449,0.1008
0,0,0,5,0.0252,0.2130,0.1449,0.1008
0,0,1,0,0.0130,0.1190,0.0900,0.0600
0,0,1,1,0.0219,0.1700,0.1237,0.0947
0,0,1,3,0.0284,0.2240,0.1559,0.1065
0,0,1,5,0.0282,0.2310,0.1576,0.1064
0,0,3,0,0.0130,0.1190,0.0900,0.0600
0,0,3,1,0.0148,0.1280,0.0984,0.0691
0,0,3,3,0.0219,0.1700,0.1237,0.0947
0,0,3,5,0.0278,0.2250,0.1569,0.1054
0,0,5,0,0.0130,0.1190,0.0900,0.0600
0,0,5,1,0.0141,0.1230,0.0951,0.0655
0,0,5,3,0.0168,0.1420,0.1071,0.0790
0,0,5,5,0.0219,0.1700,0.1237,0.0947
0,1,0,0,0.0097,0.1060,0.0800,0.0471
0,1,0,1,0.0191,0.1670,0.1167,0.0845
0,1,0,3,0.0272,0.2020,0.1458,0.1037
0,1,0,5,0.0273,0.2130,0.1506,0.1046
0,1,1,0,0.0153,0.1390,0.1090,0.0682
0,1,1,1,0.0215,0.1760,0.1318,0.0912
0,1,1,3,0.0290,0.2160,0.1559,0.1071
0,1,1,5,0.0290,0.2220,0.1574,0.1080
0,1,3,0,0.0137,0.1230,0.0957,0.0629
0,1,3,1,0.0151,0.1340,0.1031,0.0701
0,1,3,3,0.0223,0.1740,0.1271,0.0958
0,1,3,5,0.0283,0.2160,0.1571,0.1064
0,1,5,0,0.0132,0.1200,0.0925,0.0614
0,1,5,1,0.0141,0.1280,0.0974,0.0658
0,1,5,3,0.0168,0.1420,0.1079,0.0788
0,1,5,5,0.0220,0.1700,0.1246,0.0953
0,3,0,0,0.0097,0.1060,0.0800,0.0471
0,3,0,1,0.0112,0.1240,0.0915,0.0522
0,3,0,3,0.0191,0.1670,0.1167,0.0845
0,3,0,5,0.0265,0.1890,0.1426,0.1017
0,3,1,0,0.0115,0.1230,0.0935,0.0518
0,3,1,1,0.0127,0.1370,0.1033,0.0563
0,3,1,3,0.0205,0.1700,0.1236,0.0874
0,3,1,5,0.0280,0.2040,0.1523,0.1042
0,3,3,0,0.0153,0.1390,0.1090,0.0682
0,3,3,1,0.0167,0.1490,0.1162,0.0732
0,3,3,3,0.0215,0.1760,0.1318,0.0912
0,3,3,5,0.0272,0.2090,0.1522,0.1040
0,3,5,0,0.0145,0.1270,0.1017,0.0660
0,3,5,1,0.0153,0.1310,0.1043,0.0700
0,3,5,3,0.0174,0.1410,0.1105,0.0799
0,3,5,5,0.0227,0.1810,0.1340,0.0960
0,5,0,0,0.0097,0.1060,0.0800,0.0471
0,5,0,1,0.0107,0.1190,0.0885,0.0503
0,5,0,3,0.0136,0.1330,0.0973,0.0625
0,5,0,5,0.0191,0.1670,0.1167,0.0845
0,5,1,0,0.0110,0.1150,0.0881,0.0503
0,5,1,1,0.0117,0.1270,0.0959,0.0529
0,5,1,3,0.0140,0.1400,0.1037,0.0645
0,5,1,5,0.0201,0.1670,0.1205,0.0864
0,5,3,0,0.0125,0.1260,0.0983,0.0571
0,5,3,1,0.0132,0.1330,0.1024,0.0598
0,5,3,3,0.0152,0.1450,0.1096,0.0696
0,5,3,5,0.0208,0.1780,0.1278,0.0888
0,5,5,0,0.0153,0.1390,0.1090,0.0682
0,5,5,1,0.0161,0.1430,0.1125,0.0712
0,5,5,3,0.0179,0.1570,0.1193,0.0790
0,5,5,5,0.0215,0.1750,0.1315,0.0912
1,0,0,0,0.0175,0.1410,0.1079,0.0752
1,0,0,1,0.0312,0.2210,0.1620,0.1122
