title,meta,headers,body,map,p10,ndcg10,ndcg1000
0,0,0,1,0.1717,0.3400,0.2814,0.4445
0,0,0,3,0.1717,0.3400,0.2814,0.4445
0,0,0,5,0.1717,0.3400,0.2814,0.4445
1,0,0,0,0.0508,0.2280,0.1970,0.1891
1,0,0,1,0.1620,0.3560,0.3009,0.4311
1,0,0,3,0.1765,0.3420,0.2831,0.4482
1,0,0,5,0.1747,0.3440,0.2813,0.4451
3,0,0,0,0.0508,0.2280,0.1970,0.1891
3,0,0,1,0.0834,0.3020,0.2653,0.2743
3,0,0,3,0.1620,0.3560,0.3009,0.4311
3,0,0,5,0.1755,0.3340,0.2749,0.4478
5,0,0,0,0.0508,0.2280,0.1970,0.1891
5,0,0,1,0.0747,0.2800,0.2423,0.2566
5,0,0,3,0.1154,0.3200,0.2833,0.3443
5,0,0,5,0.1620,0.3560,0.3009,0.4311
