QueryNum DocId Rank TitleLen BodyLen 
1 nhslo3844_12_006773 1 5 5950
1 nhslo3844_12_006778 2 5 5908
1 first1181_12_000830 3 16 988
1 skinc4437_12_002296 4 3 25232
1 first1181_12_000200 5 9 1373
1 heart3138_12_000039 6 12 1780
1 first1181_12_000033 7 5 2448
1 mydr.3757_12_000073 8 11 4571
1 mydr.3757_12_000155 9 12 4572
1 mydr.3757_12_000123 10 12 4572
1 lymph3532_12_000914 11 12 1918
1 lymph3532_12_001146 12 12 1918
1 metho3695_12_000272 13 23 3603
1 skinc4437_12_002060 14 1 3240
1 first1181_12_000035 15 5 1998
1 first1181_12_000034 16 5 2218
1 mydr.3757_12_000216 17 8 3063
1 mydr.3757_12_000175 18 9 4223
1 healt3090_12_001013 19 4 1572
1 first1181_12_000032 20 5 2320
1 mydr.3757_12_000306 21 11 2933
1 first1181_12_000404 22 17 608
1 first1181_12_000175 23 9 1159
1 stret4575_12_000073 24 6 1343
1 stret4575_12_000461 25 6 1349
1 mydr.3757_12_000263 26 12 4402
1 mydr.3757_12_000053 27 13 4403
1 mydr.3757_12_000368 28 13 4403
1 fromy1190_12_000614 29 8 2245
1 mydr.3757_12_000164 30 8 3705
1 mydr.3757_12_000322 31 10 4298
1 wiki.0842_12_002725 32 4 2820
1 healt3090_12_001617 33 3 4817
1 skinc4437_12_002013 34 1 4986
1 mydr.3757_12_000302 35 9 4357
1 mydr.3757_12_000151 36 8 3631
1 mydr.3757_12_000097 37 9 4252
1 mydr.3757_12_000391 38 9 4352
1 fromy1190_12_000986 39 6 2827
1 plast4085_12_000919 40 7 4886
1 mydr.3757_12_000427 41 10 5137
1 women1681_12_000705 42 5 1069
1 footh1185_12_000007 43 7 1071
1 mydr.3757_12_000277 44 9 3383
1 mydr.3757_12_000472 45 8 3382
1 iemil3241_12_000030 46 10 1724
1 first1181_12_000059 47 15 577
1 stret4575_12_000070 48 7 1555
1 stret4575_12_000042 49 7 1514
1 stret4575_12_000199 50 7 1630
1 wiki.0842_12_008293 51 3 3937
1 skinc4437_12_002188 52 1 3908
1 skinc4437_12_002303 53 1 2679
1 skinc4437_12_002490 54 1 2679
1 skinc4437_12_002458 55 1 2679
1 skinc4437_12_002016 56 1 2679
1 skinc4437_12_002429 57 1 2679
1 stret4575_12_000056 58 8 1524
1 stret4575_12_000021 59 8 1327
1 stret4575_12_000267 60 6 1355
1 stret4575_12_000122 61 6 1361
1 mydr.3757_12_000453 62 9 4032
1 mydr.3757_12_000412 63 8 3943
1 mydr.3757_12_000007 64 8 3943
1 mydr.3757_12_000324 65 8 2972
1 stret4575_12_000136 66 6 1328
1 stret4575_12_000159 67 7 1263
1 stret4575_12_000253 68 7 1363
1 stret4575_12_000206 69 8 1397
1 stret4575_12_000055 70 8 1481
1 bupa.2183_12_000621 71 11 2229
1 bupa.2183_12_000632 72 13 2229
1 chron1025_12_000078 73 10 5088
1 wiki.0842_12_003725 74 4 5041
1 first1181_12_000191 75 14 590
1 mydr.3757_12_000176 76 9 4100
1 mydr.3757_12_000084 77 10 4101
1 mydr.3757_12_000104 78 10 4101
1 skinc4434_12_001038 79 9 1530
1 diabe2551_12_000714 80 8 2839
1 mendo3672_12_000200 81 2 1702
1 healt3090_12_001700 82 4 2055
1 stret4575_12_000400 83 7 1587
1 coven2458_12_000474 84 2 2963
1 metho3695_12_000109 85 24 3244
1 nhslo3844_12_005357 86 5 3210
1 nhslo3844_12_005353 87 5 3252
1 skinc4437_12_000916 88 3 3764
1 stret4575_12_000087 89 6 2270
1 fromy1190_12_002439 90 7 4401
1 mydr.3757_12_000105 91 9 3769
1 first1181_12_000055 92 16 624
1 skinc4437_12_000855 93 3 6094
1 skinc4437_12_002222 94 1 2087
1 skinc4437_12_002337 95 1 2087
1 bupa.2183_12_001884 96 11 1818
1 bupa.2183_12_001869 97 13 1818
1 mydr.3757_12_000220 98 8 2697
1 bupa.2183_12_001902 99 15 2115
1 bupa.2183_12_001402 100 17 2115
1 bupa.2183_12_001412 101 15 2115
1 healt3090_12_001702 102 5 1949
1 wiki.0842_12_003617 103 2 1211
1 tripa0853_12_003624 104 27 994
1 bupa.2183_12_001889 105 14 1368
1 healt3090_12_001699 106 5 2042
1 mydr.3757_12_000415 107 8 3268
1 iemil3241_12_000014 108 12 1125
1 mendo3672_12_000057 109 2 1901
1 mydr.3757_12_000333 110 9 4743
1 uptod4830_12_004405 111 9 5507
1 uptod4830_12_045659 112 9 5507
1 uptod4830_12_044374 113 9 5507
1 uptod4830_12_045509 114 9 5507
1 uptod4830_12_044531 115 9 5507
1 uptod4830_12_044265 116 9 5507
1 uptod4830_12_079591 117 9 5507
1 uptod4830_12_045436 118 9 5507
1 uptod4830_12_044744 119 9 5507
1 uptod4830_12_044317 120 9 5507
1 uptod4830_12_044293 121 9 5507
1 uptod4830_12_044460 122 9 5507
1 clotc2395_12_000476 123 9 2364
1 clotc2395_12_000140 124 9 2364
1 clini0836_12_056445 125 25 3767
1 witne4967_12_000192 126 5 1710
1 witne4967_12_000251 127 5 1701
1 witne4967_12_000262 128 5 1710
1 witne4967_12_000175 129 5 1701
1 healt3090_12_002048 130 7 2266
1 aller0926_12_000411 131 5 10081
1 mydr.3757_12_000015 132 8 3803
