QueryNum DocId Rank TitleLen BodyLen 
303 NYT19991215.0229 1 6 1001
303 NYT19990310.0333 2 7 877
303 APW19990224.0040 3 5 568
303 APW19990224.0042 4 5 568
303 NYT19991115.0396 5 5 471
303 APW19990516.0013 6 5 1143
303 APW19990516.0127 7 5 1143
303 NYT19990310.0503 8 10 547
303 NYT19991222.0420 9 8 533
303 APW19990310.0063 10 5 409
303 APW19990310.0167 11 5 424
303 APW19990311.0166 12 5 424
303 NYT19991221.0351 13 7 835
303 NYT19991206.0115 14 6 887
303 NYT19991223.0360 15 5 680
303 NYT19991222.0449 16 6 926
303 NYT19991219.0272 17 8 1132
303 NYT19981008.0371 18 8 674
303 NYT19981008.0331 19 4 701
303 APW19990718.0024 20 5 692
303 NYT19980615.0134 21 7 1291
303 NYT19991215.0237 22 11 695
303 NYT19990108.0368 23 6 1090
303 NYT20000602.0093 24 10 507
303 APW19990525.0223 25 6 683
303 APW19991006.0285 26 4 426
303 NYT19990107.0373 27 7 417
303 XIE19970211.0046 28 7 282
303 APW19990601.0297 29 5 726
303 APW19990602.0158 30 5 686
303 APW19990414.0120 31 5 683
303 APW19990414.0141 32 5 689
303 APW19990414.0198 33 5 689
303 APW19990108.0103 34 4 286
303 APW19990108.0283 35 4 286
303 XIE19970221.0084 36 6 168
303 NYT19991105.0298 37 12 559
303 NYT19990718.0148 38 1 1106
303 NYT19991220.0383 39 6 588
303 NYT19990719.0430 40 7 815
303 NYT19990607.0234 41 6 1215
303 NYT19981019.0198 42 6 1085
303 NYT20000518.0275 43 10 1001
303 NYT19991115.0309 44 10 441
303 NYT19990826.0251 45 7 537
303 NYT19990211.0114 46 9 572
303 APW19990428.0195 47 4 319
303 APW19991006.0154 48 4 397
303 APW19990120.0256 49 6 326
303 NYT20000210.0063 50 0 349
303 XIE19991228.0201 51 6 235
303 APW19990724.0076 52 4 521
303 NYT19990525.0358 53 8 792
303 NYT19990526.0001 54 8 791
303 XIE20000522.0056 55 5 96
303 XIE19961108.0181 56 8 277
303 NYT20000602.0091 57 1 234
303 NYT20000602.0092 58 1 234
303 APW19980715.1061 59 9 619
303 APW19990826.0244 60 6 441
303 NYT19990601.0311 61 8 815
303 XIE19990109.0245 62 7 165
303 NYT19991214.0327 63 8 743
303 NYT19981123.0242 64 8 647
303 NYT19990605.0071 65 5 1052
303 NYT19990605.0072 66 5 1052
303 NYT19990607.0082 67 5 1052
303 NYT19990607.0083 68 5 1052
303 XIE19990416.0045 69 7 188
303 NYT19990526.0034 70 1 1012
303 NYT19991228.0262 71 5 247
303 APW20000613.0088 72 4 328
303 NYT19981019.0200 73 1 1157
303 NYT19991221.0114 74 1 826
303 XIE19980610.0069 75 7 131
