schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Clef2016_alpha0 0 101001 0.3670 0.6000 0.5644 0.7504 0.5451 0 '2022011002' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 101002 0.3577 0.7000 0.4706 0.7232 0.4921 0 '0220112101' 0.5000
topBm25fTuneBoost_Clef2016_alpha0 0 101003 0.4823 1.0000 0.7136 0.7603 0.5511 0 '1211212122' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 101004 0.4165 0.8000 0.4752 0.7407 0.5224 0 '1201101111' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 101005 0.3647 0.8000 0.4497 0.7105 0.4931 0 '0012221111' 0.3333
topBm25fTuneBoost_Clef2016_alpha0 0 101006 0.5036 0.7000 0.4353 0.7511 0.6126 0 '1100210112' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 102001 0.1140 0.6000 0.5129 0.2903 0.2688 2 '2111120--0' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 102002 0.2016 0.9000 0.5947 0.4003 0.3884 1 '1121211-12' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 102003 0.1297 0.8000 0.4351 0.2356 0.2196 2 '11111111--' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 102004 0.1806 0.9000 0.6947 0.3699 0.3589 1 '211212-211' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 102005 0.0671 0.6000 0.6799 0.3055 0.2913 2 '222122-0-0' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 102006 0.1527 0.9000 0.5571 0.3691 0.3831 0 '1110112221' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 103001 0.0460 0.1000 0.0945 0.2653 0.1028 2 '0100-0000-' 0.5000
topBm25fTuneBoost_Clef2016_alpha0 0 103002 0.0352 0.2000 0.0884 0.2214 0.1405 3 '00-0--0011' 0.1111
topBm25fTuneBoost_Clef2016_alpha0 0 103003 0.0671 0.3000 0.4548 0.3649 0.1258 3 '022020--0-' 0.5000
topBm25fTuneBoost_Clef2016_alpha0 0 103004 0.0042 0.0000 0.0000 0.0954 0.0000 0 '0000000000' 0.0172
topBm25fTuneBoost_Clef2016_alpha0 0 103005 0.0166 0.1000 0.0645 0.1620 0.0505 4 '00-100--0-' 0.2500
topBm25fTuneBoost_Clef2016_alpha0 0 103006 0.0005 0.0000 0.0000 0.0376 0.0808 9 '----0-----' 0.0063
topBm25fTuneBoost_Clef2016_alpha0 0 104001 0.0519 0.2000 0.2670 0.3212 0.0595 3 '102-00--00' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 104002 0.0858 0.4000 0.3492 0.3522 0.1418 2 '102-0-0110' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 104003 0.0858 0.4000 0.3492 0.3522 0.1418 2 '102-0-0110' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 104004 0.0174 0.0000 0.0000 0.1798 0.0595 0 '0000000000' 0.0588
topBm25fTuneBoost_Clef2016_alpha0 0 104005 0.0273 0.1000 0.0475 0.2338 0.0671 2 '0000010--0' 0.1667
topBm25fTuneBoost_Clef2016_alpha0 0 104006 0.0569 0.3000 0.1406 0.2432 0.1654 1 '00010010-1' 0.2500
topBm25fTuneBoost_Clef2016_alpha0 0 105001 0.0692 0.2000 0.2240 0.3353 0.2696 2 '0200200--0' 0.5000
topBm25fTuneBoost_Clef2016_alpha0 0 105002 0.0048 0.0000 0.0000 0.0983 0.0665 3 '0000-0-0-0' 0.0333
topBm25fTuneBoost_Clef2016_alpha0 0 105003 0.0012 0.0000 0.0000 0.0392 0.0438 1 '0000000-00' 0.0145
topBm25fTuneBoost_Clef2016_alpha0 0 105004 0.0703 0.5000 0.4787 0.2415 0.1361 3 '20121-0-2-' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 105005 0.0012 0.0000 0.0000 0.0334 0.0324 4 '----000000' 0.0526
topBm25fTuneBoost_Clef2016_alpha0 0 105006 0.0177 0.1000 0.2201 0.1327 0.0878 2 '200000-00-' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 106001 0.0342 0.3000 0.1966 0.1616 0.1527 0 '1001010000' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 106002 0.0310 0.6000 0.3296 0.1549 0.1617 2 '001211--21' 0.3333
topBm25fTuneBoost_Clef2016_alpha0 0 106003 0.0000 0.0000 0.0000 0.0017 0.0041 6 '00--0--0--' 0.0010
topBm25fTuneBoost_Clef2016_alpha0 0 106004 0.1512 1.0000 1.0000 0.4120 0.3101 0 '2222222222' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 106005 0.0160 0.1000 0.0694 0.0907 0.1136 4 '010000----' 0.5000
topBm25fTuneBoost_Clef2016_alpha0 0 106006 0.0969 0.7000 0.5114 0.2688 0.2312 2 '1-2-202121' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 107001 0.0048 0.0000 0.0000 0.0934 0.0893 7 '00-------0' 0.0370
topBm25fTuneBoost_Clef2016_alpha0 0 107002 0.0084 0.1000 0.1100 0.0853 0.0402 2 '00200000--' 0.3333
topBm25fTuneBoost_Clef2016_alpha0 0 107003 0.0095 0.1000 0.0318 0.1531 0.0553 1 '00000000-1' 0.1000
topBm25fTuneBoost_Clef2016_alpha0 0 107004 0.0714 0.0000 0.0000 0.3395 0.2427 1 '00000000-0' 0.0909
topBm25fTuneBoost_Clef2016_alpha0 0 107005 0.0150 0.0000 0.0000 0.1977 0.0549 3 '000-0-000-' 0.0625
topBm25fTuneBoost_Clef2016_alpha0 0 107006 0.0449 0.0000 0.0000 0.3036 0.1706 0 '0000000000' 0.0455
topBm25fTuneBoost_Clef2016_alpha0 0 108001 0.0690 0.2000 0.1331 0.3536 0.0938 1 '00000002-2' 0.1250
topBm25fTuneBoost_Clef2016_alpha0 0 108002 0.0133 0.0000 0.0000 0.1944 0.0035 2 '000-0000-0' 0.0303
topBm25fTuneBoost_Clef2016_alpha0 0 108003 0.0095 0.0000 0.0000 0.1352 0.0139 0 '0000000000' 0.0333
topBm25fTuneBoost_Clef2016_alpha0 0 108004 0.0065 0.0000 0.0000 0.1628 0.0000 1 '00000000-0' 0.0110
topBm25fTuneBoost_Clef2016_alpha0 0 108005 0.0238 0.0000 0.0000 0.2720 0.0000 3 '00-000-00-' 0.0238
topBm25fTuneBoost_Clef2016_alpha0 0 108006 0.0266 0.0000 0.0000 0.2658 0.0260 0 '0000000000' 0.0556
topBm25fTuneBoost_Clef2016_alpha0 0 109001 0.0002 0.0000 0.0000 0.0147 0.0000 3 '00-0000-0-' 0.0041
topBm25fTuneBoost_Clef2016_alpha0 0 109002 0.0508 0.2000 0.2489 0.2046 0.0960 1 '01100000-0' 0.5000
topBm25fTuneBoost_Clef2016_alpha0 0 109003 0.0395 0.1000 0.2201 0.1525 0.0535 3 '100--00-00' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 109004 0.0112 0.1000 0.0948 0.1088 0.0329 0 '0001000000' 0.2500
topBm25fTuneBoost_Clef2016_alpha0 0 109005 0.0089 0.0000 0.0000 0.1495 0.0316 2 '00000-0-00' 0.0556
topBm25fTuneBoost_Clef2016_alpha0 0 109006 0.0000 0.0000 0.0000 0.0000 0.0000 1 '000000000-' 0.0000
topBm25fTuneBoost_Clef2016_alpha0 0 110001 0.0812 0.2000 0.1732 0.3885 0.4168 8 '---2-2----' 0.2500
topBm25fTuneBoost_Clef2016_alpha0 0 110002 0.1870 0.9000 0.5094 0.4731 0.4398 0 '1111211101' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 110003 0.0002 0.0000 0.0000 0.0087 0.0144 2 '000-00-000' 0.0213
topBm25fTuneBoost_Clef2016_alpha0 0 110004 0.1164 0.8000 0.5761 0.3834 0.3548 0 '1111202220' 1.0000
topBm25fTuneBoost_Clef2016_alpha0 0 110005 0.0027 0.1000 0.0367 0.0370 0.0472 5 '0--0--100-' 0.1429
