schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Hard2005_alpha0 0 303 0.3865 0.4000 0.5104 0.7786 0.3893 0 '2200200020' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 307 0.3022 0.9000 0.4987 0.5000 0.4112 0 '1111111102' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 310 0.0954 0.5000 0.3444 0.3224 0.1221 0 '1011120000' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 314 0.0019 0.0000 0.0000 0.0698 0.0106 0 '0000000000' 0.0556
topBm25fTuneBoost_Hard2005_alpha0 0 322 0.0065 0.1000 0.0851 0.1032 0.0215 0 '0000200000' 0.2000
topBm25fTuneBoost_Hard2005_alpha0 0 325 0.4008 0.2000 0.1228 0.7069 0.5820 0 '0100000001' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 330 0.2664 0.8000 0.6489 0.6940 0.2556 0 '1011111011' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 336 0.4335 0.8000 0.4694 0.6726 0.4308 0 '0121211101' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 341 0.1014 0.1000 0.1407 0.3928 0.1176 0 '1000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 344 0.0452 0.3000 0.2018 0.2287 0.0990 2 '1-10001-00' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 345 0.0302 0.0000 0.0000 0.3098 0.0000 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2005_alpha0 0 347 0.2300 0.7000 0.6118 0.5731 0.2936 0 '0220220222' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 353 0.0559 0.0000 0.0000 0.2849 0.0249 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2005_alpha0 0 354 0.1563 0.8000 0.8553 0.4753 0.3724 0 '2222202202' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 362 0.2209 0.7000 0.4699 0.5075 0.2835 0 '1112100021' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 363 0.1111 0.3000 0.3125 0.4544 0.1738 0 '0220000002' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 367 0.0555 0.1000 0.0851 0.3674 0.0560 0 '0000200000' 0.2000
topBm25fTuneBoost_Hard2005_alpha0 0 372 0.0868 0.1000 0.0698 0.4465 0.0742 0 '0001000000' 0.2500
topBm25fTuneBoost_Hard2005_alpha0 0 374 0.5158 0.7000 0.6660 0.8306 0.6402 0 '2020221220' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 375 0.2062 0.3000 0.2974 0.6434 0.1500 0 '0100101000' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 378 0.1210 0.0000 0.0000 0.4658 0.1494 0 '0000000000' 0.0833
topBm25fTuneBoost_Hard2005_alpha0 0 383 0.0383 0.0000 0.0000 0.2714 0.0706 0 '0000000000' 0.0500
topBm25fTuneBoost_Hard2005_alpha0 0 389 0.0252 0.0000 0.0000 0.2067 0.0588 0 '0000000000' 0.0500
topBm25fTuneBoost_Hard2005_alpha0 0 393 0.0370 0.2000 0.1357 0.2480 0.0706 0 '0000000220' 0.1250
topBm25fTuneBoost_Hard2005_alpha0 0 394 0.4711 1.0000 1.0000 0.7065 0.4834 0 '1111111111' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 397 0.0357 0.3000 0.3188 0.1751 0.0728 0 '0101100000' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 399 0.2035 0.6000 0.6244 0.4459 0.3237 0 '2201022020' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 401 0.0769 0.2000 0.1642 0.3828 0.0958 0 '0002000200' 0.2500
topBm25fTuneBoost_Hard2005_alpha0 0 404 0.2493 0.3000 0.2152 0.5636 0.4169 0 '0020002001' 0.3333
topBm25fTuneBoost_Hard2005_alpha0 0 408 0.0965 0.1000 0.0851 0.4224 0.0956 0 '0000200000' 0.2000
topBm25fTuneBoost_Hard2005_alpha0 0 409 0.3083 0.4000 0.2843 0.7072 0.3139 0 '0200110002' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 416 0.3398 0.5000 0.2397 0.7031 0.3057 0 '0111000110' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 419 0.0879 0.2000 0.1737 0.3449 0.1315 0 '0020000002' 0.3333
topBm25fTuneBoost_Hard2005_alpha0 0 426 0.0804 0.0000 0.0000 0.3419 0.1725 0 '0000000000' 0.0714
topBm25fTuneBoost_Hard2005_alpha0 0 427 0.2742 0.8000 0.6033 0.5762 0.3098 0 '1200112222' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 433 0.0744 0.1000 0.2201 0.2962 0.0384 0 '2000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 435 0.2020 0.3000 0.1528 0.5607 0.2250 0 '0000120001' 0.2000
topBm25fTuneBoost_Hard2005_alpha0 0 436 0.4598 0.6000 0.3616 0.6378 0.6122 0 '0120111002' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 439 0.0387 0.2000 0.1110 0.2756 0.0754 0 '0001000002' 0.2500
topBm25fTuneBoost_Hard2005_alpha0 0 443 0.0900 0.2000 0.1584 0.3787 0.2167 0 '0002000002' 0.2500
topBm25fTuneBoost_Hard2005_alpha0 0 448 0.0147 0.0000 0.0000 0.2068 0.0180 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2005_alpha0 0 622 0.1993 0.9000 0.8666 0.5828 0.3414 0 '2212202222' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 625 0.0133 0.1000 0.1100 0.1339 0.0150 0 '1000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 638 0.1194 0.5000 0.2663 0.3404 0.2903 1 '001211-100' 0.3333
topBm25fTuneBoost_Hard2005_alpha0 0 639 0.1689 0.1000 0.0318 0.4687 0.2773 0 '0000000001' 0.1000
topBm25fTuneBoost_Hard2005_alpha0 0 648 0.5511 1.0000 0.7365 0.7880 0.5447 0 '2121112211' 1.0000
topBm25fTuneBoost_Hard2005_alpha0 0 650 0.0361 0.1000 0.1053 0.3141 0.0527 0 '0002000000' 0.2500
topBm25fTuneBoost_Hard2005_alpha0 0 651 0.0038 0.0000 0.0000 0.0749 0.0191 0 '0000000000' 0.0333
topBm25fTuneBoost_Hard2005_alpha0 0 658 0.2015 0.5000 0.3192 0.5372 0.2623 0 '0100200122' 0.5000
topBm25fTuneBoost_Hard2005_alpha0 0 689 0.0326 0.0000 0.0000 0.2679 0.0677 0 '0000000000' 0.0476
topBm25fTuneBoost_Hard2005_alpha1 1 303 0.3856 0.4000 0.5135 0.7791 0.3883 0 '2200200200' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 307 0.3048 1.0000 0.5331 0.5031 0.4125 0 '1111111121' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 310 0.0841 0.5000 0.3237 0.3112 0.1143 0 '1011000120' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 314 0.0019 0.0000 0.0000 0.0698 0.0106 0 '0000000000' 0.0556
topBm25fTuneBoost_Hard2005_alpha1 1 322 0.0054 0.1000 0.0784 0.0916 0.0208 0 '0000020000' 0.1667
topBm25fTuneBoost_Hard2005_alpha1 1 325 0.4085 0.2000 0.1228 0.7063 0.5888 0 '0100000001' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 330 0.2794 0.8000 0.6489 0.7051 0.2776 0 '1011111011' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 336 0.4412 0.8000 0.4694 0.6754 0.4348 0 '0121211101' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 341 0.1029 0.1000 0.1407 0.3941 0.1205 0 '1000000000' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 344 0.0421 0.3000 0.2018 0.2185 0.0886 2 '1-10001-00' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 345 0.0304 0.0000 0.0000 0.3103 0.0000 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2005_alpha1 1 347 0.2346 0.7000 0.6118 0.5849 0.2939 0 '0220220222' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 353 0.0580 0.0000 0.0000 0.2874 0.0249 0 '0000000000' 0.0909
topBm25fTuneBoost_Hard2005_alpha1 1 354 0.1658 0.8000 0.8604 0.4846 0.3854 0 '2222220202' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 362 0.2187 0.7000 0.4699 0.5123 0.2739 0 '1112100021' 1.0000
topBm25fTuneBoost_Hard2005_alpha1 1 363 0.1132 0.3000 0.3125 0.4652 0.1713 0 '0220000002' 0.5000
topBm25fTuneBoost_Hard2005_alpha1 1 367 0.0558 0.1000 0.0851 0.3678 0.0564 0 '0000200000' 0.2000
topBm25fTuneBoost_Hard2005_alpha1 1 372 0.0899 0.1000 0.0698 0.4438 0.0800 0 '0001000000' 0.2500
