schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25fTuneBoost_Web_alpha0 0 201 0.0336 0.3000 0.1337 0.1319 0.1143 4 '0-1-1-00-1' 0.3333
topBm25fTuneBoost_Web_alpha0 0 202 0.0000 0.0000 0.0000 0.0000 0.0000 2 '0000000-0-' 0.0000
topBm25fTuneBoost_Web_alpha0 0 203 0.0096 0.1000 0.0636 0.0898 0.1102 7 '-0-0-----3' 0.1000
topBm25fTuneBoost_Web_alpha0 0 204 0.0263 0.3000 0.1489 0.1344 0.1353 2 '0010-200-1' 0.3333
topBm25fTuneBoost_Web_alpha0 0 205 0.0831 0.6000 0.2302 0.1576 0.1428 2 '0111101-1-' 0.5000
topBm25fTuneBoost_Web_alpha0 0 206 0.0113 0.0000 0.0000 0.1290 0.1519 8 '----0-0---' 0.0588
topBm25fTuneBoost_Web_alpha0 0 207 0.0269 0.1000 0.0321 0.1259 0.1353 3 '000010--0-' 0.2000
topBm25fTuneBoost_Web_alpha0 0 208 0.0417 0.3000 0.1230 0.1326 0.1105 1 '010010001-' 0.5000
topBm25fTuneBoost_Web_alpha0 0 209 0.0085 0.1000 0.0562 0.0510 0.0592 6 '00---0--2-' 0.1111
topBm25fTuneBoost_Web_alpha0 0 210 0.0068 0.1000 0.0726 0.0824 0.0343 4 '00-0--2-00' 0.1429
topBm25fTuneBoost_Web_alpha0 0 211 0.0703 0.6000 0.2879 0.2093 0.2066 2 '0110-1221-' 0.5000
topBm25fTuneBoost_Web_alpha0 0 212 0.0008 0.0000 0.0000 0.0535 0.0000 3 '00000-0--0' 0.0049
topBm25fTuneBoost_Web_alpha0 0 213 0.0164 0.0000 0.0000 0.1380 0.1863 5 '0-0-0---00' 0.0385
topBm25fTuneBoost_Web_alpha0 0 214 0.1072 0.7000 0.4372 0.2493 0.2122 2 '110-211-12' 1.0000
topBm25fTuneBoost_Web_alpha0 0 215 0.0472 0.2000 0.0988 0.2107 0.2327 2 '00-01001-0' 0.2000
topBm25fTuneBoost_Web_alpha0 0 216 0.0647 0.6000 0.2648 0.1823 0.1665 4 '12--11-1-1' 1.0000
topBm25fTuneBoost_Web_alpha0 0 217 0.0535 0.7000 0.3306 0.1592 0.1425 2 '1-11-12011' 1.0000
topBm25fTuneBoost_Web_alpha0 0 218 0.0138 0.1000 0.1100 0.1159 0.1150 4 '1-00000---' 1.0000
topBm25fTuneBoost_Web_alpha0 0 219 0.0010 0.0000 0.0000 0.0354 0.0308 6 '-00--0-0--' 0.0084
topBm25fTuneBoost_Web_alpha0 0 220 0.0006 0.0000 0.0000 0.0235 0.0192 2 '0000-0000-' 0.0256
topBm25fTuneBoost_Web_alpha0 0 221 0.0635 0.1000 0.0271 0.1515 0.1857 3 '000000-1--' 0.1250
topBm25fTuneBoost_Web_alpha0 0 222 0.0413 0.5000 0.1804 0.1414 0.1683 3 '01-1110-2-' 0.5000
topBm25fTuneBoost_Web_alpha0 0 223 0.1015 0.6000 0.3748 0.2871 0.2125 0 '2010044011' 1.0000
topBm25fTuneBoost_Web_alpha0 0 224 0.0003 0.0000 0.0000 0.0287 0.0351 9 '0---------' 0.0058
topBm25fTuneBoost_Web_alpha0 0 225 0.0000 0.0000 0.0000 0.0000 0.0000 4 '-000-00--0' 0.0000
topBm25fTuneBoost_Web_alpha0 0 226 0.0135 0.0000 0.0000 0.1336 0.1125 3 '--000000-0' 0.0417
