schema  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topBm25f_unifield_Hard2003 102 0.7247 1.0000 1.0000 0.9089 0.8587 0 '2222222222' 1.0000
topBm25f_unifield_Hard2003 105 0.2855 0.6000 0.5259 0.6513 0.2844 0 '0222102020' 0.5000
topBm25f_unifield_Hard2003 115 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topBm25f_unifield_Hard2003 116 0.4438 1.0000 0.7351 0.7670 0.6839 0 '1221122211' 1.0000
topBm25f_unifield_Hard2003 117 0.0005 0.0000 0.0000 0.0346 0.0000 0 '0000000000' 0.0084
topBm25f_unifield_Hard2003 124 0.5090 0.4000 0.5353 0.8118 0.3700 0 '2220000020' 1.0000
topBm25f_unifield_Hard2003 146 0.1646 0.6000 0.5654 0.4688 0.3038 0 '1220002202' 1.0000
topBm25f_unifield_Hard2003 147 0.3825 0.9000 0.8900 0.6376 0.5460 0 '2202222222' 1.0000
topBm25f_unifield_Hard2003 154 0.0394 0.0000 0.0000 0.2447 0.0000 0 '0000000000' 0.0286
topBm25f_unifield_Hard2003 155 0.0689 0.2000 0.1834 0.4218 0.0822 0 '0010001000' 0.3333
topBm25f_unifield_Hard2003 157 0.0755 0.5000 0.2947 0.1228 0.1569 0 '1101000110' 1.0000
topBm25f_unifield_Hard2003 171 0.2262 0.5000 0.4878 0.6420 0.3761 0 '2020121000' 1.0000
topBm25f_unifield_Hard2003 176 0.0017 0.0000 0.0000 0.0687 0.0000 0 '0000000000' 0.0074
topBm25f_unifield_Hard2003 177 0.0045 0.0000 0.0000 0.0959 0.0000 0 '0000000000' 0.0110
topBm25f_unifield_Hard2003 180 0.3232 0.6000 0.6461 0.7329 0.3501 0 '2022022200' 1.0000
topBm25f_unifield_Hard2003 182 0.1301 0.3000 0.3597 0.5145 0.1400 0 '2000002020' 1.0000
topBm25f_unifield_Hard2003 186 0.0015 0.0000 0.0000 0.0776 0.0000 0 '0000000000' 0.0110
topBm25f_unifield_Hard2003 187 0.0409 0.1000 0.0663 0.2503 0.1523 0 '0000000020' 0.1111
topBm25f_unifield_Hard2003 190 0.0827 0.0000 0.0000 0.3835 0.0792 0 '0000000000' 0.0833
topBm25f_unifield_Hard2003 194 0.2925 0.7000 0.5682 0.6017 0.3434 0 '0220022221' 0.5000
topBm25f_unifield_Hard2003 196 0.5423 0.9000 0.9306 0.8275 0.6730 0 '2222222022' 1.0000
topBm25f_unifield_Hard2003 198 0.1269 0.3000 0.1373 0.4625 0.2287 0 '0100000110' 0.5000
topBm25f_unifield_Hard2003 203 0.3381 0.7000 0.5562 0.6674 0.3005 0 '2101120102' 1.0000
topBm25f_unifield_Hard2003 215 0.6244 0.2000 0.1299 0.8127 0.7600 0 '0000000022' 0.1111
topBm25f_unifield_Hard2003 217 0.0590 0.0000 0.0000 0.3636 0.0000 0 '0000000000' 0.0238
topBm25f_unifield_Hard2003 220 0.0122 0.0000 0.0000 0.2040 0.0000 0 '0000000000' 0.0073
topBm25f_unifield_Hard2003 222 0.3285 0.8000 0.4467 0.5478 0.5262 0 '0210111211' 0.5000
topBm25f_unifield_Hard2003 223 0.4596 1.0000 0.5841 0.6450 0.6100 0 '1112112111' 1.0000
topBm25f_unifield_Hard2003 226 0.0910 0.1000 0.0550 0.4758 0.0256 0 '0010000000' 0.3333
topBm25f_unifield_Hard2003 228 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topBm25f_unifield_Hard2003 229 0.1273 1.0000 1.0000 0.2502 0.1273 0 '2222222222' 1.0000
topBm25f_unifield_Hard2003 231 0.0836 0.3000 0.4537 0.2990 0.0804 0 '1101000000' 1.0000
topBm25f_unifield_Hard2003 233 0.1873 0.2000 0.2051 0.5604 0.2854 0 '0200000020' 0.5000
topBm25f_unifield_Hard2003 234 0.4252 0.8000 0.8701 0.7555 0.4385 0 '2222222200' 1.0000
