schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Clef2015_alpha0 0 1 0.0245 0.0000 0.0000 0.2173 0.0000 0 '0000000000' 0.0238
topTuneBoost_Clef2015_alpha0 0 10 0.0016 0.0000 0.0000 0.0608 0.0000 0 '0000000000' 0.0048
topTuneBoost_Clef2015_alpha0 0 11 0.1001 0.2000 0.2863 0.4764 0.1133 4 '1----00010' 1.0000
topTuneBoost_Clef2015_alpha0 0 12 0.0161 0.0000 0.0000 0.1706 0.0000 0 '0000000000' 0.0152
topTuneBoost_Clef2015_alpha0 0 13 0.4790 0.6000 0.7273 0.8178 0.6870 3 '2222220---' 1.0000
topTuneBoost_Clef2015_alpha0 0 14 0.4253 0.6000 0.6449 0.7458 0.3951 1 '211111000-' 1.0000
topTuneBoost_Clef2015_alpha0 0 15 0.2307 0.3000 0.2520 0.5947 0.6399 1 '020002010-' 0.5000
topTuneBoost_Clef2015_alpha0 0 16 0.0000 0.0000 0.0000 0.0000 0.0000 1 '00000000-0' 0.0000
topTuneBoost_Clef2015_alpha0 0 17 0.1667 0.1000 0.2961 0.2961 0.2222 0 '0100000000' 0.5000
topTuneBoost_Clef2015_alpha0 0 18 0.2579 0.4000 0.4275 0.6166 0.2086 0 '2000210200' 1.0000
topTuneBoost_Clef2015_alpha0 0 19 0.0019 0.0000 0.0000 0.0900 0.0000 0 '0000000000' 0.0020
topTuneBoost_Clef2015_alpha0 0 2 0.3428 0.6000 0.5191 0.6271 0.4083 0 '0002222220' 0.2500
topTuneBoost_Clef2015_alpha0 0 20 0.0705 0.1000 0.0550 0.3419 0.0930 1 '001-000000' 0.3333
topTuneBoost_Clef2015_alpha0 0 21 0.2185 0.3000 0.2261 0.4536 0.2308 0 '0011000002' 0.3333
topTuneBoost_Clef2015_alpha0 0 22 0.0083 0.0000 0.0000 0.0633 0.0000 1 '000000000-' 0.0556
topTuneBoost_Clef2015_alpha0 0 23 0.4698 0.7000 0.5841 0.7622 0.8310 2 '12121022--' 1.0000
topTuneBoost_Clef2015_alpha0 0 24 0.1995 0.3000 0.2125 0.4646 0.2130 1 '101100000-' 1.0000
topTuneBoost_Clef2015_alpha0 0 25 0.0117 0.0000 0.0000 0.1887 0.0000 0 '0000000000' 0.0286
topTuneBoost_Clef2015_alpha0 0 26 0.5500 0.1000 0.6131 0.7527 0.5000 0 '1000000000' 1.0000
topTuneBoost_Clef2015_alpha0 0 27 0.0059 0.0000 0.0000 0.1350 0.0000 5 '000-0----0' 0.0059
topTuneBoost_Clef2015_alpha0 0 28 0.3113 0.7000 0.5310 0.6011 0.4525 0 '0001111111' 0.2500
topTuneBoost_Clef2015_alpha0 0 29 0.5092 1.0000 0.8196 0.7274 0.7231 0 '1111111111' 1.0000
topTuneBoost_Clef2015_alpha0 0 3 0.1512 0.7000 0.6995 0.5931 0.6657 2 '22202112--' 1.0000
topTuneBoost_Clef2015_alpha0 0 30 0.0504 0.1000 0.0424 0.3039 0.0863 0 '0000000010' 0.1111
topTuneBoost_Clef2015_alpha0 0 31 0.1126 0.3000 0.2558 0.2902 0.1427 0 '1001100000' 1.0000
topTuneBoost_Clef2015_alpha0 0 32 0.3448 0.9000 0.9216 0.6804 0.5391 0 '1111101111' 1.0000
topTuneBoost_Clef2015_alpha0 0 33 0.0368 0.1000 0.0353 0.1644 0.1680 5 '-0000----1' 0.1000
topTuneBoost_Clef2015_alpha0 0 34 0.1905 0.3000 0.1344 0.4551 0.3349 0 '0000000211' 0.1250
topTuneBoost_Clef2015_alpha0 0 35 0.3609 0.6000 0.4627 0.6500 0.5100 0 '0111100110' 0.5000
topTuneBoost_Clef2015_alpha0 0 36 0.0000 0.0000 0.0000 0.0000 0.0000 0 '0000000000' 0.0000
topTuneBoost_Clef2015_alpha0 0 37 0.1952 0.7000 0.3730 0.4501 0.5177 1 '0111111-01' 0.5000
topTuneBoost_Clef2015_alpha0 0 38 0.1230 0.6000 0.5572 0.4657 0.4101 3 '1212202---' 1.0000
topTuneBoost_Clef2015_alpha0 0 39 0.3769 0.9000 0.9052 0.7586 0.6335 1 '111-111111' 1.0000
topTuneBoost_Clef2015_alpha0 0 4 0.0433 0.2000 0.1145 0.2730 0.0864 1 '000100100-' 0.2500
topTuneBoost_Clef2015_alpha0 0 40 0.0501 0.0000 0.0000 0.2780 0.0000 0 '0000000000' 0.0278
topTuneBoost_Clef2015_alpha0 0 41 0.1713 0.2000 0.1749 0.5052 0.1249 0 '1001000000' 1.0000
topTuneBoost_Clef2015_alpha0 0 42 0.0000 0.0000 0.0000 0.0000 0.0000 7 '----000---' 0.0000
topTuneBoost_Clef2015_alpha0 0 43 0.1118 0.2000 0.1609 0.3950 0.2755 0 '0001020000' 0.2500
topTuneBoost_Clef2015_alpha0 0 44 0.2675 0.7000 0.5476 0.6644 0.4610 0 '1100102121' 1.0000
topTuneBoost_Clef2015_alpha0 0 45 0.1683 0.2000 0.1420 0.4934 0.1458 0 '0000010001' 0.1667
topTuneBoost_Clef2015_alpha0 0 46 0.1243 0.2000 0.3590 0.5952 0.8199 8 '22--------' 1.0000
topTuneBoost_Clef2015_alpha0 0 47 0.0799 0.1000 0.0948 0.4272 0.1618 1 '000200000-' 0.2500
topTuneBoost_Clef2015_alpha0 0 48 0.0196 0.1000 0.1026 0.1554 0.0000 0 '0000000020' 0.1111
topTuneBoost_Clef2015_alpha0 0 49 0.0042 0.0000 0.0000 0.1267 0.0000 0 '0000000000' 0.0042
topTuneBoost_Clef2015_alpha0 0 5 0.2840 0.4000 0.4203 0.6028 0.3965 0 '1210100000' 1.0000
topTuneBoost_Clef2015_alpha0 0 50 0.8767 0.5000 0.9249 0.9249 0.8800 3 '2102110---' 1.0000
topTuneBoost_Clef2015_alpha0 0 51 0.1603 0.2000 0.2489 0.5256 0.1944 2 '01100000--' 0.5000
topTuneBoost_Clef2015_alpha0 0 52 0.0026 0.0000 0.0000 0.0954 0.0000 2 '00000000--' 0.0035
topTuneBoost_Clef2015_alpha0 0 53 0.0456 0.1000 0.1389 0.3487 0.0263 0 '0100000000' 0.5000
topTuneBoost_Clef2015_alpha0 0 54 0.1342 0.2000 0.1679 0.3673 0.2222 2 '0011--0000' 0.3333
topTuneBoost_Clef2015_alpha0 0 55 0.0070 0.0000 0.0000 0.0720 0.0000 1 '00000000-0' 0.0152
topTuneBoost_Clef2015_alpha0 0 56 0.0379 0.0000 0.0000 0.2765 0.0000 0 '0000000000' 0.0667
topTuneBoost_Clef2015_alpha0 0 57 0.4551 0.7000 0.5111 0.7064 0.7838 0 '1102101110' 1.0000
topTuneBoost_Clef2015_alpha0 0 58 0.0352 0.0000 0.0000 0.2253 0.0000 0 '0000000000' 0.0238
topTuneBoost_Clef2015_alpha0 0 59 0.1316 0.5000 0.4647 0.3538 0.2169 0 '1011010001' 1.0000
topTuneBoost_Clef2015_alpha0 0 6 0.0265 0.0000 0.0000 0.2713 0.0000 0 '0000000000' 0.0196
topTuneBoost_Clef2015_alpha0 0 60 0.0367 0.1000 0.0518 0.1999 0.0000 0 '0000000001' 0.1000
topTuneBoost_Clef2015_alpha0 0 61 0.2290 0.3000 0.4102 0.6129 0.3003 0 '1010200000' 1.0000
topTuneBoost_Clef2015_alpha0 0 63 0.6159 1.0000 0.7359 0.7705 0.7330 0 '1111111111' 1.0000
topTuneBoost_Clef2015_alpha0 0 64 0.1068 0.2000 0.0979 0.3802 0.3112 2 '0010000-1-' 0.3333
topTuneBoost_Clef2015_alpha0 0 65 0.0447 0.1000 0.0948 0.3261 0.0778 0 '0001000000' 0.2500
topTuneBoost_Clef2015_alpha0 0 66 0.3167 0.8000 0.8643 0.7256 0.8000 2 '2222222--2' 1.0000
topTuneBoost_Clef2015_alpha0 0 67 0.1238 0.2000 0.1285 0.4413 0.1181 0 '0110000000' 0.5000
topTuneBoost_Clef2015_alpha0 0 7 0.0020 0.0000 0.0000 0.1293 0.0000 1 '000000000-' 0.0016
topTuneBoost_Clef2015_alpha0 0 8 0.1187 0.0000 0.0000 0.4088 0.2112 3 '00000---00' 0.0385
topTuneBoost_Clef2015_alpha0 0 9 0.3062 0.4000 0.4382 0.6625 0.5968 2 '22001010--' 1.0000
topTuneBoost_Clef2015_alpha1 1 1 0.0207 0.0000 0.0000 0.2094 0.0000 0 '0000000000' 0.0196
topTuneBoost_Clef2015_alpha1 1 10 0.0014 0.0000 0.0000 0.0592 0.0000 0 '0000000000' 0.0041
topTuneBoost_Clef2015_alpha1 1 11 0.1084 0.2000 0.2863 0.5061 0.1250 4 '1----00010' 1.0000
topTuneBoost_Clef2015_alpha1 1 12 0.0180 0.0000 0.0000 0.1866 0.0000 0 '0000000000' 0.0357
topTuneBoost_Clef2015_alpha1 1 13 0.4599 0.6000 0.7273 0.8106 0.6592 3 '2222220---' 1.0000
topTuneBoost_Clef2015_alpha1 1 14 0.3992 0.8000 0.5821 0.6565 0.3875 0 '0211111110' 0.5000
topTuneBoost_Clef2015_alpha1 1 15 0.2241 0.6000 0.3382 0.5774 0.6363 0 '0002011221' 0.2500
topTuneBoost_Clef2015_alpha1 1 16 0.0000 0.0000 0.0000 0.0000 0.0000 1 '000000000-' 0.0000
topTuneBoost_Clef2015_alpha1 1 17 0.1111 0.1000 0.2346 0.2346 0.1111 0 '0010000000' 0.3333
