schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Hard2003_alpha0 0 102 0.7264 1.0000 1.0000 0.9212 0.8751 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha0 0 105 0.2674 0.6000 0.5216 0.6365 0.2519 0 '0212220200' 0.5000
topTuneBoost_Hard2003_alpha0 0 115 0.0205 0.0000 0.0000 0.1669 0.0000 0 '0000000000' 0.0455
topTuneBoost_Hard2003_alpha0 0 116 0.4406 1.0000 0.7667 0.7606 0.6704 0 '2121112122' 1.0000
topTuneBoost_Hard2003_alpha0 0 117 0.0006 0.0000 0.0000 0.0351 0.0000 0 '0000000000' 0.0090
topTuneBoost_Hard2003_alpha0 0 124 0.4617 0.3000 0.4690 0.7854 0.3500 0 '2220000000' 1.0000
topTuneBoost_Hard2003_alpha0 0 146 0.1644 0.6000 0.6469 0.4795 0.3063 0 '2210220200' 1.0000
topTuneBoost_Hard2003_alpha0 0 147 0.3777 0.9000 0.9306 0.6479 0.5547 0 '2222222022' 1.0000
topTuneBoost_Hard2003_alpha0 0 154 0.0414 0.0000 0.0000 0.2474 0.0000 0 '0000000000' 0.0294
topTuneBoost_Hard2003_alpha0 0 155 0.0648 0.2000 0.1428 0.3921 0.0849 0 '0000001100' 0.1429
topTuneBoost_Hard2003_alpha0 0 157 0.0726 0.5000 0.2790 0.1186 0.1523 0 '1011000101' 1.0000
topTuneBoost_Hard2003_alpha0 0 171 0.2264 0.6000 0.5418 0.6362 0.3927 0 '2020110022' 1.0000
topTuneBoost_Hard2003_alpha0 0 176 0.0019 0.0000 0.0000 0.0679 0.0000 0 '0000000000' 0.0094
topTuneBoost_Hard2003_alpha0 0 177 0.0055 0.0000 0.0000 0.0997 0.0000 0 '0000000000' 0.0179
topTuneBoost_Hard2003_alpha0 0 180 0.3146 0.6000 0.6805 0.7260 0.3391 0 '2220020202' 1.0000
topTuneBoost_Hard2003_alpha0 0 182 0.1142 0.2000 0.1799 0.4444 0.1552 0 '0002200000' 0.2500
topTuneBoost_Hard2003_alpha0 0 186 0.0020 0.0000 0.0000 0.0999 0.0000 0 '0000000000' 0.0109
topTuneBoost_Hard2003_alpha0 0 187 0.0404 0.1000 0.0694 0.2552 0.1541 0 '0000000200' 0.1250
topTuneBoost_Hard2003_alpha0 0 190 0.0811 0.1000 0.0694 0.3837 0.0760 0 '0000000200' 0.1250
topTuneBoost_Hard2003_alpha0 0 194 0.2803 0.7000 0.5315 0.5632 0.3523 0 '0220021221' 0.5000
topTuneBoost_Hard2003_alpha0 0 196 0.5457 0.9000 0.9266 0.8011 0.6647 0 '2222220222' 1.0000
topTuneBoost_Hard2003_alpha0 0 198 0.1134 0.2000 0.1041 0.4415 0.2271 0 '0100000100' 0.5000
topTuneBoost_Hard2003_alpha0 0 203 0.3336 0.7000 0.4896 0.6382 0.2801 0 '1211002011' 1.0000
topTuneBoost_Hard2003_alpha0 0 215 0.6206 0.2000 0.1126 0.8209 0.7365 0 '0000012000' 0.1667
topTuneBoost_Hard2003_alpha0 0 217 0.0578 0.0000 0.0000 0.3623 0.0000 0 '0000000000' 0.0238
topTuneBoost_Hard2003_alpha0 0 220 0.0123 0.0000 0.0000 0.2049 0.0000 0 '0000000000' 0.0104
topTuneBoost_Hard2003_alpha0 0 222 0.3287 0.8000 0.5567 0.5529 0.5302 0 '1020222111' 1.0000
topTuneBoost_Hard2003_alpha0 0 223 0.4236 1.0000 0.7288 0.6307 0.5809 0 '1112221222' 1.0000
topTuneBoost_Hard2003_alpha0 0 226 0.0977 0.1000 0.0474 0.4701 0.0612 0 '0001000000' 0.2500
topTuneBoost_Hard2003_alpha0 0 228 0.0000 0.0000 0.0000 0.0000 0.0000 4 '00---0000-' 0.0000
topTuneBoost_Hard2003_alpha0 0 229 0.1267 1.0000 1.0000 0.2500 0.1272 0 '2222222222' 1.0000
topTuneBoost_Hard2003_alpha0 0 231 0.1023 0.3000 0.4690 0.3344 0.0950 0 '1110000000' 1.0000
topTuneBoost_Hard2003_alpha0 0 233 0.1791 0.3000 0.2809 0.5484 0.2836 0 '0200020002' 0.5000
topTuneBoost_Hard2003_alpha0 0 234 0.4025 0.8000 0.8643 0.7359 0.4226 0 '2222222002' 1.0000
topTuneBoost_Hard2003_alpha0 0 235 0.0134 0.1000 0.0694 0.1891 0.0215 0 '0000000200' 0.1250
