schema alpha  QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr
topTuneBoost_Web_alpha0 0 201 0.0418 0.4000 0.1791 0.1403 0.1147 3 '0-11-1-001' 0.3333
topTuneBoost_Web_alpha0 0 202 0.0000 0.0000 0.0000 0.0000 0.0000 2 '00000000--' 0.0000
topTuneBoost_Web_alpha0 0 203 0.0084 0.1000 0.0694 0.0873 0.1056 7 '0-----03--' 0.1250
topTuneBoost_Web_alpha0 0 204 0.0366 0.4000 0.2066 0.1518 0.1440 2 '000120--12' 0.2500
topTuneBoost_Web_alpha0 0 205 0.0686 0.5000 0.1968 0.1494 0.1408 3 '011-1110--' 0.5000
topTuneBoost_Web_alpha0 0 206 0.0170 0.1000 0.0402 0.1422 0.1617 8 '---0---1--' 0.1250
topTuneBoost_Web_alpha0 0 207 0.0322 0.3000 0.0835 0.1315 0.1365 2 '00000111--' 0.1667
topTuneBoost_Web_alpha0 0 208 0.0392 0.4000 0.1598 0.1287 0.1085 0 '0010001012' 0.3333
topTuneBoost_Web_alpha0 0 209 0.0154 0.1000 0.0722 0.0655 0.0651 4 '00--2-0-00' 0.2000
topTuneBoost_Web_alpha0 0 210 0.0054 0.0000 0.0000 0.0720 0.0373 5 '00---00--0' 0.0588
topTuneBoost_Web_alpha0 0 211 0.0800 0.5000 0.2633 0.2183 0.2125 3 '010121-2--' 0.5000
topTuneBoost_Web_alpha0 0 212 0.0013 0.0000 0.0000 0.0579 0.0000 3 '00000-00--' 0.0076
topTuneBoost_Web_alpha0 0 213 0.0183 0.1000 0.0694 0.1460 0.1880 4 '0--000-20-' 0.1250
topTuneBoost_Web_alpha0 0 214 0.0965 0.6000 0.3981 0.2447 0.2124 3 '11-02-1-12' 1.0000
topTuneBoost_Web_alpha0 0 215 0.0526 0.2000 0.0945 0.2119 0.2282 2 '0-0001010-' 0.1667
topTuneBoost_Web_alpha0 0 216 0.0610 0.5000 0.2425 0.1793 0.1633 5 '12--11--1-' 1.0000
topTuneBoost_Web_alpha0 0 217 0.0450 0.7000 0.2583 0.1425 0.1441 2 '0--1121111' 0.2500
topTuneBoost_Web_alpha0 0 218 0.0154 0.2000 0.1526 0.1161 0.1091 3 '1-001-000-' 1.0000
topTuneBoost_Web_alpha0 0 219 0.0011 0.0000 0.0000 0.0313 0.0306 7 '-00----0--' 0.0133
topTuneBoost_Web_alpha0 0 220 0.0004 0.0000 0.0000 0.0223 0.0187 4 '000---0-00' 0.0097
topTuneBoost_Web_alpha0 0 221 0.0736 0.3000 0.1560 0.1720 0.1868 4 '1--11-0-00' 1.0000
topTuneBoost_Web_alpha0 0 222 0.0685 0.4000 0.2135 0.1858 0.1802 4 '1102-1---0' 1.0000
topTuneBoost_Web_alpha0 0 223 0.1136 0.6000 0.3770 0.2960 0.2203 0 '2011014400' 1.0000
topTuneBoost_Web_alpha0 0 224 0.0297 0.2000 0.2173 0.1437 0.0993 2 '020002--00' 0.5000
topTuneBoost_Web_alpha0 0 225 0.0000 0.0000 0.0000 0.0000 0.0000 5 '-00-00---0' 0.0000
topTuneBoost_Web_alpha0 0 226 0.0159 0.0000 0.0000 0.1396 0.1211 4 '--00-0-000' 0.0667
topTuneBoost_Web_alpha0 0 227 0.1179 0.5000 0.5746 0.3499 0.2272 2 '44310001--' 1.0000
topTuneBoost_Web_alpha0 0 228 0.0142 0.1000 0.0804 0.0973 0.1043 5 '00-2---00-' 0.2500
topTuneBoost_Web_alpha0 0 229 0.0840 0.5000 0.5549 0.2811 0.2297 1 '2020202-20' 1.0000
topTuneBoost_Web_alpha0 0 230 0.0178 0.3000 0.2214 0.1232 0.1095 4 '00-2-0-11-' 0.2500
