schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 303 0.4289 0.6000 0.7066 0.8034 0.3807 0 '2222002200' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 307 0.2818 0.6000 0.3789 0.4958 0.4144 0 '1110012001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 310 0.1292 0.5000 0.3560 0.3231 0.1673 0 '1110020001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 314 0.0050 0.1000 0.0946 0.0912 0.0140 0 '0000200000' 0.2000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 322 0.0058 0.0000 0.0000 0.0762 0.0142 0 '0000000000' 0.0233
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 325 0.4108 0.6000 0.4316 0.7460 0.5666 0 '1111010100' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 330 0.2263 0.8000 0.7011 0.6538 0.2058 0 '1111101101' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 336 0.4779 0.8000 0.4546 0.7233 0.4785 0 '0121110112' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 341 0.0878 0.2000 0.1513 0.4338 0.0986 0 '0000200010' 0.2000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 344 0.0744 0.4000 0.2285 0.3037 0.1188 0 '0100210100' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 345 0.0362 0.1000 0.0708 0.2993 0.0123 0 '0000000010' 0.1111
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 347 0.1449 0.5000 0.6051 0.5091 0.1777 0 '2202200020' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 353 0.0318 0.0000 0.0000 0.2583 0.0000 0 '0000000000' 0.0286
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 354 0.0916 0.5000 0.6173 0.3657 0.2726 0 '2202220000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 362 0.3933 1.0000 0.8621 0.6806 0.4546 0 '2122221221' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 363 0.1003 0.4000 0.5321 0.4174 0.1497 0 '2202020000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 367 0.0665 0.0000 0.0000 0.3764 0.0794 0 '0000000000' 0.0833
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 372 0.0775 0.2000 0.1533 0.4477 0.0739 0 '0100000100' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 374 0.5920 0.5000 0.4399 0.8534 0.7676 0 '2001001220' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 375 0.2566 0.5000 0.5573 0.7170 0.1800 0 '1010110001' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 378 0.1296 0.0000 0.0000 0.5093 0.1146 0 '0000000000' 0.0588
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 383 0.0983 0.3000 0.3183 0.3763 0.1567 0 '0220000200' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 389 0.1583 0.5000 0.2825 0.4662 0.1996 0 '0011111000' 0.3333
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 393 0.0359 0.1000 0.0663 0.2566 0.0681 0 '0000000020' 0.1111
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 394 0.4748 1.0000 1.0000 0.7510 0.4533 0 '1111111111' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 397 0.0417 0.2000 0.2122 0.2245 0.1096 0 '0100001000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 399 0.3106 1.0000 0.9306 0.5529 0.4442 0 '2122222222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 401 0.0518 0.1000 0.1389 0.3786 0.0604 0 '0200000000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 404 0.2303 0.5000 0.3102 0.5491 0.3662 0 '1110100010' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 408 0.1134 0.2000 0.2751 0.4767 0.0949 0 '2010000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 409 0.3510 0.7000 0.4847 0.7277 0.3831 0 '0210112220' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 416 0.4534 0.7000 0.5964 0.8120 0.4446 0 '2211001102' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 419 0.1436 0.3000 0.3188 0.4517 0.1592 0 '0202200000' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 426 0.1061 0.0000 0.0000 0.3732 0.2304 0 '0000000000' 0.0909
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 427 0.2720 0.8000 0.7168 0.5746 0.3089 0 '1220202222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 433 0.1524 0.4000 0.4834 0.4038 0.1536 0 '2210000200' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 435 0.1490 0.3000 0.1309 0.5103 0.1803 0 '0010011000' 0.3333
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 436 0.4988 1.0000 0.8640 0.7098 0.6316 0 '2122222121' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 439 0.0872 0.3000 0.2345 0.2809 0.1381 0 '1110000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 443 0.2745 0.7000 0.4727 0.5338 0.4090 0 '0211220110' 0.5000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 448 0.0073 0.0000 0.0000 0.1480 0.0222 0 '0000000000' 0.0435
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 622 0.4709 1.0000 0.9058 0.7594 0.5682 0 '2212212222' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 625 0.0336 0.3000 0.3225 0.2452 0.0451 0 '2011000000' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 638 0.1541 0.7000 0.3968 0.3605 0.2696 0 '1111110010' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 639 0.1519 0.1000 0.0367 0.4426 0.2626 0 '0000001000' 0.1429
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 648 0.3906 0.8000 0.5516 0.6675 0.4407 0 '1201120211' 1.0000
topTuneBvaried_Hard2005_unifield_b0.05_k1.2 0.05 650 0.1001 0.1000 0.1222 0.4507 0.0977 0 '0020000000' 0.3333
