schema b QueryNum map p10 ndcg10 ndcg1000 bpref unjudged relString rr 
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 201 0.0436 0.4000 0.1779 0.1418 0.1149 4 '0-110-1-1-' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 202 0.0000 0.0000 0.0000 0.0000 0.0000 1 '0000000-00' 0.0000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 203 0.0107 0.2000 0.1136 0.0986 0.1112 6 '0-----032-' 0.1250
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 204 0.0345 0.3000 0.1520 0.1519 0.1427 2 '0002-1-100' 0.2500
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 205 0.0730 0.4000 0.1737 0.1525 0.1417 1 '011110-000' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 206 0.0174 0.1000 0.0384 0.1422 0.1616 8 '-----0--1-' 0.1111
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 207 0.0282 0.2000 0.0546 0.1271 0.1347 1 '000001001-' 0.1667
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 208 0.0396 0.4000 0.1606 0.1316 0.1118 0 '0010000211' 0.3333
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 209 0.0154 0.1000 0.0722 0.0655 0.0651 5 '00--2---00' 0.2000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 210 0.0055 0.0000 0.0000 0.0722 0.0351 4 '000-00--0-' 0.0588
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 211 0.0787 0.6000 0.2919 0.2186 0.2123 2 '01102-1-21' 0.5000
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 212 0.0012 0.0000 0.0000 0.0578 0.0000 3 '00000-00--' 0.0081
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 213 0.0183 0.1000 0.0694 0.1461 0.1883 4 '0--000-20-' 0.1250
topTuneBvaried_Web_unifield_b0.05_k1.2 0.05 214 0.1009 0.6000 0.3619 0.2447 0.2123 3 '11-01-21-1' 1.0000
